Date, Open, High, Low, Close,,Monthly Average (Close),,,Monthly Return,,
6/17/2020,1591.67,1593.43,1579.45,1587.09,,,,,,,
6/16/2020,1555.04,1597.58,1554.35,1593.45,,,,,,,
6/15/2020,1562.32,1573.72,1530.78,1530.78,,,,,,,
6/12/2020,1560.74,1574.57,1540.98,1570.68,,,,,,,
6/11/2020,1609.01,1614.88,1588.22,1588.92,,,,,,,
6/10/2020,1618.53,1629.35,1616.04,1624.71,,,,,,,
6/9/2020,1629.78,1633.4,1617.74,1628.43,,,,,,,
6/8/2020,1628.61,1630.72,1619.17,1630.72,,,,,,,
6/5/2020,1599.56,1612.48,1596.38,1612.48,,,,,,,
6/4/2020,1614.49,1615,1590.22,1603.82,,,,,,,
6/3/2020,1606.29,1611.4,1588.88,1599.08,,,,,,,
6/2/2020,1576.77,1592.79,1573.77,1587.68,,,,,,,
6/1/2020,1563.81,1573.47,1561.34,1568.75,,,,,,,
5/29/2020,1566.67,1576.27,1561.37,1563.67,,,,,,,
5/28/2020,1562.08,1578.5,1555.31,1577.34,,,,,,,
5/27/2020,1535.42,1550.96,1529.64,1549.47,,,,,,,
5/26/2020,1513.49,1537.48,1512.15,1534.73,,,,,,,
5/25/2020,1495.09,1502.2,1491.21,1502.2,,,,,,,
5/22/2020,1492.21,1495.23,1474.2,1477.8,,,,,,,
5/21/2020,1499.65,1501.43,1487.74,1491.21,,,,,,,
5/20/2020,1483.35,1498.76,1483.19,1494.69,,,,,,,
5/19/2020,1480.63,1491.09,1479.83,1486.05,,,,,,,
5/18/2020,1457.78,1463.07,1450.35,1459.29,,,,,,,
5/15/2020,1459.33,1461.9,1441,1453.77,,,,,,,
5/14/2020,1464.99,1467.42,1446.55,1446.55,,,,,,,
5/13/2020,1462.78,1477.97,1459.48,1474.69,,,,,,,
5/12/2020,1480.47,1482.98,1474.3,1476.72,,,,,,,
5/11/2020,1468.83,1484.81,1466.95,1480.62,,,,,,,
5/8/2020,1442.8,1458.28,1441.31,1458.28,,,,,,,
5/7/2020,1419.92,1427.81,1418.88,1426.73,,,,,,,
5/1/2020,1452.46,1453.93,1424.93,1431.26,,,,,,,
4/30/2020,1470.57,1478.84,1464.02,1464.03,,,,,,,
4/28/2020,1446.06,1450.18,1438.54,1449.15,,,,,,,
4/27/2020,1428.44,1449.29,1427.24,1447.25,,,,,,,
