Date,Open,High,Low,Close,,Monthly Average (Close),,,Monthly Return,,
6/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74",,,,,,,
6/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34",,,,,,,
6/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49",,,,,,,
6/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74",,,,,,,
6/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59",,,,,,,
6/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31",,,,,,,
6/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10",,,,,,,
6/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14",,,,,,,
6/9/2020,"3,213.32","3,222.71","3,193.11","3,207.18",,,,,,,
6/8/2020,"3,199.92","3,233.13","3,196.00","3,232.39",,,,,,,
6/5/2020,"3,163.84","3,211.72","3,163.84","3,193.93",,,,,,,
6/4/2020,"3,111.56","3,128.91","3,090.41","3,112.35",,,,,,,
6/3/2020,"3,098.90","3,130.94","3,098.90","3,122.87",,,,,,,
6/2/2020,"3,064.78","3,081.07","3,051.64","3,080.82",,,,,,,
6/1/2020,"3,038.78","3,062.18","3,031.54","3,055.73",,,,,,,
5/29/2020,"3,025.17","3,049.17","2,998.61","3,044.31",,,,,,,
5/28/2020,"3,046.61","3,068.67","3,023.40","3,029.73",,,,,,,
5/27/2020,"3,015.65","3,036.25","2,969.75","3,036.13",,,,,,,
5/26/2020,"3,004.08","3,021.72","2,988.17","2,991.77",,,,,,,
5/22/2020,"2,948.05","2,956.76","2,933.59","2,955.45",,,,,,,
5/21/2020,"2,969.95","2,978.50","2,938.57","2,948.51",,,,,,,
5/20/2020,"2,953.63","2,980.29","2,953.63","2,971.61",,,,,,,
5/19/2020,"2,948.59","2,964.21","2,922.35","2,922.94",,,,,,,
5/18/2020,"2,913.86","2,968.09","2,913.86","2,953.91",,,,,,,
5/15/2020,"2,829.95","2,865.01","2,816.78","2,863.70",,,,,,,
5/14/2020,"2,794.54","2,852.80","2,766.64","2,852.50",,,,,,,
5/13/2020,"2,865.86","2,874.14","2,793.15","2,820.00",,,,,,,
5/12/2020,"2,939.50","2,945.82","2,869.59","2,870.12",,,,,,,
5/11/2020,"2,915.46","2,944.25","2,903.44","2,930.32",,,,,,,
5/8/2020,"2,908.83","2,932.16","2,902.88","2,929.80",,,,,,,
5/7/2020,"2,878.26","2,901.92","2,876.48","2,881.19",,,,,,,
5/6/2020,"2,883.14","2,891.11","2,847.65","2,848.42",,,,,,,
5/5/2020,"2,868.88","2,898.23","2,863.55","2,868.44",,,,,,,
5/4/2020,"2,815.01","2,844.24","2,797.85","2,842.74",,,,,,,
5/1/2020,"2,869.09","2,869.09","2,821.61","2,830.71",,,,,,,
4/30/2020,"2,930.91","2,930.91","2,892.47","2,912.43",,,,,,,
4/29/2020,"2,918.46","2,954.86","2,912.16","2,939.51",,,,,,,
4/28/2020,"2,909.96","2,921.15","2,860.71","2,863.39",,,,,,,
4/27/2020,"2,854.65","2,887.72","2,852.89","2,878.48",,,,,,,
4/24/2020,"2,812.64","2,842.71","2,791.76","2,836.74",,,,,,,
4/23/2020,"2,810.42","2,844.90","2,794.26","2,797.80",,,,,,,
4/22/2020,"2,787.89","2,815.10","2,775.95","2,799.31",,,,,,,
4/21/2020,"2,784.81","2,785.54","2,727.10","2,736.56",,,,,,,
4/20/2020,"2,845.62","2,868.98","2,820.43","2,823.16",,,,,,,
4/17/2020,"2,842.43","2,879.22","2,830.88","2,874.56",,,,,,,
4/16/2020,"2,799.34","2,806.51","2,764.32","2,799.55",,,,,,,
4/15/2020,"2,795.64","2,801.88","2,761.54","2,783.36",,,,,,,
4/14/2020,"2,805.10","2,851.85","2,805.10","2,846.06",,,,,,,
4/13/2020,"2,782.46","2,782.46","2,721.17","2,761.63",,,,,,,
4/9/2020,"2,776.99","2,818.57","2,762.36","2,789.82",,,,,,,
4/8/2020,"2,685.00","2,760.75","2,663.30","2,749.98",,,,,,,
4/7/2020,"2,738.65","2,756.89","2,657.67","2,659.41",,,,,,,
4/6/2020,"2,578.28","2,676.85","2,574.57","2,663.68",,,,,,,
4/3/2020,"2,514.92","2,538.18","2,459.96","2,488.65",,,,,,,
4/2/2020,"2,458.54","2,533.22","2,455.79","2,526.90",,,,,,,
4/1/2020,"2,498.08","2,522.75","2,447.49","2,470.50",,,,,,,
3/31/2020,"2,614.69","2,641.39","2,571.15","2,584.59",,,,,,,
3/30/2020,"2,558.98","2,631.80","2,545.28","2,626.65",,,,,,,
3/27/2020,"2,555.87","2,615.91","2,520.02","2,541.47",,,,,,,
3/26/2020,"2,501.29","2,637.01","2,500.72","2,630.07",,,,,,,
3/25/2020,"2,457.77","2,571.42","2,407.53","2,475.56",,,,,,,
3/24/2020,"2,344.44","2,449.71","2,344.44","2,447.33",,,,,,,
